G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20190323KTSK0,20190323,KT,SK,0,T,65058,0,1,0,0,L,0,3,20,4,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,L ,0,4,0.0,1.0,1.0,7,0,38,5,0,0,130114,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,13696.342105263158,13696.342105263158,0,0,0,0,0,0
20190323KTSK0,20190323,SK,KT,0,B,65343,0,1,0,0, ,1,3,14,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2, ,1,3,0.0,0.0,0.0,3,0,14,3,0,0,65343,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,18669.64285714286,18669.64285714286,0,0,0,0,0,0
20190323KTSK0,20190323,KT,SK,0,T,68036,0,1,0,1, ,0,3,18,4,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2, L ,0,7,0.0,1.0,1.0,11,0,56,7,0,1,198150,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,14153.75,14153.75,0,0,0,0,0,0
20190323KTSK0,20190323,KT,SK,0,T,69032,1,0,0,0, ,0,17,84,26,24,7,1,0,1,0,0,0,0,2,0,0,3,1,1,5,  L ,0,24,1.0,2.0,8.0,37,0,140,31,0,1,267182,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,7634.0142857142855,7634.0142857142855,0,0,0,0,0,0
20190323KTSK0,20190323,SK,KT,0,B,69813,0,1,0,0,W,0,3,15,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,W ,1,6,0.0,0.0,0.0,6,0,29,6,0,0,135156,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,18642.41379310345,18642.41379310345,0,0,0,0,0,0
20190323KTSK0,20190323,SK,KT,0,B,77829,1,0,0,0, ,0,18,110,29,26,8,0,0,1,0,0,0,0,3,0,0,7,0,1,10, W ,1,24,0.0,1.0,8.0,35,0,139,32,0,0,212985,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,6129.294964028777,6129.294964028777,0,0,0,0,0,0
20190323KTSK0,20190323,SK,KT,0,B,79847,0,1,0,1,S,0,3,14,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,10,S W ,1,27,0.0,1.0,9.0,39,0,153,36,0,0,292832,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,7655.973856209151,7655.973856209151,0,0,0,0,0,0
20190323LGHT0,20190323,LG,HT,0,T,60140,0,1,0,0, ,1,3,17,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1, ,1,3,0.0,0.0,0.0,4,0,17,3,0,0,60140,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,14150.764705882353,14150.764705882353,0,0,0,0,0,0
20190323LGHT0,20190323,HT,LG,0,B,62648,0,1,0,1, ,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,1,0.0,0.0,0.0,1,0,6,1,0,0,62648,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,41765.5,41765.5,0,0,0,0,0,0
20190323LGHT0,20190323,HT,LG,0,B,63628,0,1,0,0, ,0,1,13,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,  ,0,2,0.0,0.0,1.0,3,0,19,2,0,0,126276,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,26584.526315789473,26584.526315789473,0,0,0,0,0,0
20190323LGHT0,20190323,HT,LG,0,B,65643,0,1,0,0, ,0,1,9,3,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,   ,0,3,1.0,0.0,2.0,6,0,28,4,0,0,191919,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,27417.14285714286,27417.14285714286,0,0,0,0,0,0
20190323LGHT0,20190323,HT,LG,0,B,65665,0,1,0,0, ,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,    ,0,5,1.0,0.0,2.0,7,0,32,5,0,0,257584,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,32198.15625,32198.15625,0,0,0,0,0,0
20190323LGHT0,20190323,LG,HT,0,T,68135,1,0,0,0,W,0,21,93,26,22,3,1,0,0,0,0,1,0,2,0,1,4,0,1,5,W ,1,24,1.0,0.0,3.0,30,0,110,25,0,0,128275,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,4664.772727272727,4664.772727272727,0,0,0,0,0,0
20190323LGHT0,20190323,HT,LG,0,B,68639,0,1,0,0, ,0,4,23,5,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0,4,     ,0,9,1.0,0.0,3.0,12,0,55,10,0,0,326223,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,23725.49090909091,23725.49090909091,0,0,0,0,0,0
20190323LGHT0,20190323,HT,LG,0,B,77637,1,0,0,0,L,0,18,91,22,21,5,2,0,0,0,0,0,0,1,0,0,8,1,1,12,L     ,0,27,3.0,0.0,8.0,34,0,146,31,0,0,403860,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,11064.869863013699,11064.869863013699,0,0,0,0,0,0
20190323LGHT0,20190323,LG,HT,0,T,78148,0,1,0,1,S,0,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,SW ,1,27,1.0,0.0,3.0,33,0,119,28,0,0,206423,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,6938.823529411765,6938.823529411765,0,0,0,0,0,0
20190323SSNC0,20190323,SS,NC,0,T,60146,0,1,0,0, ,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, ,0,3,0.0,0.0,0.0,3,0,12,3,0,0,60146,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,20048.916666666668,20048.916666666668,0,0,0,0,0,0
20190323SSNC0,20190323,NC,SS,0,B,61329,0,1,0,0, ,0,1,9,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1, ,0,1,0.0,0.0,1.0,2,0,9,2,0,0,61329,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,27257.555555555555,27257.555555555555,0,0,0,0,0,0
20190323SSNC0,20190323,SS,NC,0,T,61457,0,1,0,1, ,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,  ,0,4,0.0,0.0,0.0,4,0,18,4,0,0,121603,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,27023.11111111111,27023.11111111111,0,0,0,0,0,0
20190323SSNC0,20190323,NC,SS,0,B,64995,0,1,0,1, ,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,  ,0,3,0.0,0.0,1.0,4,0,18,4,0,0,126324,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,28072.222222222223,28072.222222222223,0,0,0,0,0,0
20190323SSNC0,20190323,SS,NC,0,T,65496,0,1,0,0, ,0,3,14,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,   ,0,7,0.0,0.0,0.0,7,0,32,7,0,0,187099,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,23387.59375,23387.59375,0,0,0,0,0,0
20190323SSNC0,20190323,SS,NC,0,T,67421,0,1,0,0, ,0,4,17,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,    ,0,11,0.0,0.0,0.0,11,0,49,11,0,0,254520,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,20777.367346938776,20777.367346938776,0,0,0,0,0,0
20190323SSNC0,20190323,SS,NC,0,T,69413,1,0,0,0,L,0,11,86,23,18,8,0,0,3,0,1,0,0,5,0,0,3,1,1,6,L    ,0,22,0.0,3.0,8.0,34,1,135,29,0,0,323933,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.007407407407407408,9598.22962962963,9598.222222222223,0,0,0,0,0,0
20190323SSNC0,20190323,NC,SS,0,B,69934,1,0,0,0,W,0,22,96,25,23,3,0,0,0,0,0,0,0,2,0,0,3,1,1,5,W  ,0,25,0.0,0.0,4.0,29,0,114,27,0,0,196258,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,6886.482456140351,6886.482456140351,0,0,0,0,0,0
20190323SSNC0,20190323,NC,SS,0,B,75867,0,1,0,0, ,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5, W  ,0,27,0.0,0.0,4.0,31,0,123,29,0,0,272125,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,8849.829268292682,8849.829268292682,0,0,0,0,0,0
20190323SSNC0,20190323,SS,NC,0,T,77927,0,1,0,0, ,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7, L    ,0,24,0.0,3.0,8.0,36,1,144,31,0,0,401860,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.006944444444444444,11162.993055555555,11162.98611111111,0,0,0,0,0,0
20190323WOLT0,20190323,WO,LT,0,T,62363,0,1,0,0, ,1,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1, ,1,3,0.0,0.0,0.0,3,0,9,3,0,0,62363,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,27717.222222222223,27717.222222222223,0,0,0,0,0,0
20190323WOLT0,20190323,WO,LT,0,T,63342,0,1,0,1,S,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,S ,1,6,0.0,0.0,0.0,6,0,21,6,0,0,125705,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,23944.095238095237,23944.095238095237,0,0,0,0,0,0
20190323WOLT0,20190323,LT,WO,0,B,64565,0,1,0,0, ,0,2,19,4,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1, ,0,2,0.0,0.0,1.0,4,0,19,3,0,0,64565,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,13592.78947368421,13592.78947368421,0,0,0,0,0,0
20190323WOLT0,20190323,LT,WO,0,B,65509,0,1,0,1, ,0,3,7,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,  ,0,5,0.0,0.0,1.0,7,1,26,6,0,0,130074,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.038461538461538464,20011.615384615383,20011.576923076922,0,0,0,0,0,0
20190323WOLT0,20190323,LT,WO,0,B,65546,1,0,0,0,L,0,12,81,21,19,6,0,0,2,0,0,0,0,2,0,0,4,1,1,5,L  ,0,17,0.0,2.0,7.0,28,1,107,25,0,0,195620,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.009345794392523364,7313.130841121495,7313.121495327103,0,0,0,0,0,0
20190323WOLT0,20190323,WO,LT,0,T,67313,1,0,0,0,W,0,15,86,24,22,6,2,0,0,0,0,0,0,1,0,1,6,1,1,10,WS ,1,21,2.0,0.0,6.0,30,0,107,28,0,0,193018,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,7215.887850467289,7215.887850467289,0,0,0,0,0,0
20190323WOLT0,20190323,LT,WO,0,B,68556,0,1,0,0, ,0,3,17,6,6,3,1,0,0,0,0,0,0,0,0,0,1,1,1,6, L  ,0,20,1.0,2.0,10.0,34,1,124,31,0,0,264176,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.008064516129032258,8522.056451612903,8522.048387096775,0,0,0,0,0,0
20190323WOLT0,20190323,LT,WO,0,B,72523,0,1,0,0, ,0,3,15,5,4,2,0,0,0,0,0,1,0,0,0,0,1,1,1,7,  L  ,0,23,1.0,2.0,12.0,39,1,139,35,0,0,336699,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.007194244604316547,9689.431654676258,9689.424460431654,0,0,0,0,0,0
20190323WOLT0,20190323,WO,LT,0,T,75342,0,1,0,0, ,1,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10, WS ,2,24,2.0,0.0,6.0,33,0,116,31,0,0,268360,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,9254.060344827587,9254.060344827587,0,0,0,0,0,0
20190323WOLT0,20190323,WO,LT,0,T,76430,0,1,0,0, ,1,3,12,4,4,1,0,0,0,1,0,0,0,0,0,0,1,1,1,11,  WS ,3,27,2.0,0.0,7.0,37,0,128,35,0,1,344790,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,10774.984375,10774.984375,0,0,0,0,0,0
20190323WOLT0,20190323,LT,WO,0,B,79545,0,1,0,0, ,0,4,19,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,7,   L  ,0,27,1.0,2.0,14.0,44,1,158,40,0,0,416244,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.006329113924050633,10538.075949367088,10538.069620253164,0,0,0,0,0,0
20190324HHOB0,20190324,OB,HH,0,B,61214,0,1,0,1, ,0,6,30,10,9,4,1,0,0,0,0,0,1,0,0,0,1,2,1,8,   W S ,1,33,2.0,0.0,16.0,52,1,181,43,0,0,469090,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0055248618784530384,10366.867403314916,10366.861878453037,0,0,0,0,0,0
20190324HHOB0,20190324,OB,HH,0,B,62951,0,1,0,0, ,0,3,11,3,3,1,0,0,0,0,0,0,0,0,0,0,1,2,1,9,    W S ,1,36,2.0,0.0,17.0,55,1,192,46,0,0,532041,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.005208333333333333,11084.427083333334,11084.421875,0,0,0,0,0,0
20190324HHOB0,20190324,HH,OB,0,T,69748,1,0,0,0,W,0,24,95,25,24,1,0,0,0,0,0,0,0,1,0,0,8,1,2,11,W   L ,0,48,1.0,1.0,7.0,58,0,233,52,0,0,407533,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,6996.497854077254,6996.497854077254,0,0,0,0,0,0
20190324HHOB0,20190324,OB,HH,0,B,74543,0,1,0,0, ,0,0,12,3,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,9,     W S ,1,36,2.0,0.0,17.0,58,1,204,47,0,0,606584,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.004901960784313725,11894.03431372549,11894.029411764704,0,0,0,0,0,0
20190324HHOB0,20190324,OB,HH,0,B,77211,1,0,0,0,L,0,18,103,27,24,4,1,0,0,0,0,0,0,3,0,0,9,2,2,18,L     W S ,1,54,3.0,0.0,21.0,85,1,307,71,0,0,683795,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.003257328990228013,8909.612377850162,8909.609120521172,0,0,0,0,0,0
20190324HHOB0,20190324,HH,OB,0,T,79764,0,1,0,1, ,0,3,18,5,4,2,0,0,0,0,0,0,0,0,0,1,0,2,2,11, W   L ,0,51,1.0,1.0,9.0,63,0,251,56,0,0,487297,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,7765.9123505976095,7765.9123505976095,0,0,0,0,0,0
20190324KTSK0,20190324,SK,KT,0,B,61895,0,1,0,0, ,0,3,7,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11, S W ,1,30,0.0,1.0,9.0,42,0,160,39,0,0,354727,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,8868.41875,8868.41875,0,0,0,0,0,0
20190324KTSK0,20190324,SK,KT,0,B,64893,0,1,0,0, ,0,3,15,4,4,1,0,0,0,2,0,0,0,0,0,0,1,1,1,12,  S W ,1,33,0.0,1.0,10.0,46,0,175,43,0,2,419620,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,9591.594285714285,9591.594285714285,0,0,0,0,0,0
20190324KTSK0,20190324,KT,SK,0,T,65056,0,1,0,0,L,0,1,20,5,4,3,0,0,1,3,0,0,0,1,0,0,0,1,1,5,L  L ,0,25,1.0,3.0,11.0,42,0,160,35,0,4,332238,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,8306.24375,8306.24375,0,0,0,0,0,0
20190324KTSK0,20190324,KT,SK,0,T,65058,0,1,0,0, ,1,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7, L  L ,1,28,1.0,3.0,11.0,45,0,169,38,0,4,397296,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,9403.75147928994,9403.75147928994,0,0,0,0,0,0
20190324KTSK0,20190324,KT,SK,0,T,65062,0,1,0,1, ,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,  L  L ,1,30,1.0,3.0,11.0,47,0,178,40,0,4,462358,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,10390.359550561798,10390.359550561798,0,0,0,0,0,0
20190324KTSK0,20190324,SK,KT,0,B,68815,1,0,0,0, ,0,15,96,24,20,6,1,0,0,4,1,0,0,3,0,1,7,1,2,19,   S W ,1,48,1.0,1.0,16.0,70,1,271,63,0,6,488435,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0036900369003690036,7209.671586715867,7209.667896678967,0,0,0,0,0,0
20190324KTSK0,20190324,KT,SK,0,T,69041,0,1,0,0, ,0,6,38,7,6,0,0,0,0,1,0,0,0,1,0,0,2,2,1,9,   L  L ,1,36,1.0,3.0,11.0,54,0,216,46,0,5,531399,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,9841.00462962963,9841.00462962963,0,0,0,0,0,0
20190324KTSK0,20190324,KT,SK,0,T,75258,1,0,0,0, ,0,12,85,19,18,6,1,0,1,0,0,0,0,1,0,0,1,2,2,10,    L  L ,1,48,2.0,4.0,17.0,73,0,301,64,0,5,606657,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,8062.14950166113,8062.14950166113,0,0,0,0,0,0
20190324KTSK0,20190324,SK,KT,0,B,79130,0,1,0,0,W,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,W   S W ,1,51,1.0,1.0,16.0,73,1,281,66,0,6,567565,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0035587188612099642,8079.516014234875,8079.512455516014,0,0,0,0,0,0
20190324KTSK0,20190324,SK,KT,0,B,79847,0,1,0,1,S,0,3,11,3,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,20,SW   S W ,1,54,1.0,1.0,16.0,76,1,292,69,0,6,647412,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.003424657534246575,8868.955479452055,8868.952054794521,0,0,0,0,0,0
20190324LGHT0,20190324,HT,LG,0,B,65616,0,1,0,1, ,0,5,26,7,7,2,0,0,0,0,0,0,0,0,0,0,2,2,1,14, L     ,0,32,3.0,0.0,10.0,41,0,172,38,0,0,469476,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,10918.267441860466,10918.267441860466,0,0,0,0,0,0
20190324LGHT0,20190324,HT,LG,0,B,65618,0,1,0,0, ,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,15,  L     ,0,35,3.0,0.0,10.0,44,0,184,41,0,0,535094,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,11632.701086956522,11632.701086956522,0,0,0,0,0,0
20190324LGHT0,20190324,LG,HT,0,T,67119,0,1,0,0, ,0,3,13,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8, SW ,1,30,1.0,0.0,3.0,36,0,132,31,0,0,273542,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,8289.386363636364,8289.386363636364,0,0,0,0,0,0
20190324LGHT0,20190324,LG,HT,0,T,69103,1,0,0,0,W,0,18,87,25,25,6,2,0,0,0,0,0,0,0,0,0,5,1,2,13,W SW ,1,48,3.0,0.0,9.0,61,0,219,56,0,0,342645,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,6258.611872146119,6258.611872146119,0,0,0,0,0,0
20190324LGHT0,20190324,LG,HT,0,T,69159,0,1,0,1, ,0,3,15,5,5,2,0,0,0,0,0,0,0,0,0,0,2,2,2,15, W SW ,1,51,3.0,0.0,11.0,66,0,234,61,0,0,411804,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,7039.645299145299,7039.645299145299,0,0,0,0,0,0
