,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
15,20160402KTSK0,20160402,KT,SK,0,T,41,34,3,3,8,0,0,0,0,2,1,0,6,0,0,3,2,1,8,0.375,8,3
16,20160402LTWO0,20160402,WO,LT,0,B,35,30,5,5,9,0,0,0,1,1,0,0,4,0,1,6,1,0,6,0.375,8,3
17,20160402LTWO0,20160402,LT,WO,0,T,39,34,3,3,8,3,0,0,2,1,0,0,5,0,0,9,0,1,9,0.181818182,11,2
18,20160402OBSS0,20160402,SS,OB,0,B,41,36,10,10,16,3,1,2,1,1,2,0,2,0,1,7,1,0,7,0.454545455,11,5
19,20160402OBSS0,20160402,OB,SS,0,T,42,38,6,6,12,6,0,1,1,0,0,0,4,0,0,6,1,0,9,0.1875,16,3
20,20160403KTSK0,20160403,SK,KT,0,B,38,32,4,4,8,2,0,0,1,1,0,1,3,0,2,4,0,0,7,0.125,8,1
21,20160403KTSK0,20160403,KT,SK,0,T,40,33,5,5,7,2,0,1,0,1,0,0,6,0,1,9,0,0,8,0.3,10,3
22,20160403LTWO0,20160403,WO,LT,0,B,42,34,6,6,11,2,0,0,3,0,1,0,7,1,0,7,0,1,11,0.35714285700000004,14,5
23,20160403LTWO0,20160403,LT,WO,0,T,43,38,5,5,12,1,1,0,0,0,0,1,4,0,0,5,1,0,11,0.41666666700000005,12,5
24,20160405LGHT0,20160405,HT,LG,0,B,31,28,4,4,6,1,0,1,0,0,0,0,3,0,0,10,2,0,3,0.25,4,1
25,20160405LGHT0,20160405,LG,HT,0,T,35,34,1,1,7,0,0,0,1,0,0,0,1,0,0,9,0,1,7,0.2,5,1
26,20160405NCOB0,20160405,OB,NC,0,B,39,28,5,6,6,1,1,0,2,1,0,0,7,0,4,5,0,0,9,0.28571428600000004,7,2
27,20160405NCOB0,20160405,NC,OB,0,T,37,31,2,2,5,0,0,0,0,0,0,0,5,0,1,9,1,0,8,0.28571428600000004,7,2
28,20160405SKLT0,20160405,LT,SK,0,B,34,30,2,2,5,0,0,0,0,0,0,0,3,0,1,7,0,0,8,0.111111111,9,1
29,20160405SKLT0,20160405,SK,LT,0,T,35,30,1,1,4,2,0,0,1,0,0,1,2,0,2,12,0,1,7,0.14285714300000002,7,1
30,20160405SSKT0,20160405,KT,SS,0,B,42,32,8,8,11,4,0,1,2,0,0,2,8,0,0,6,1,3,10,0.26666666699999997,15,4
31,20160405SSKT0,20160405,SS,KT,0,T,45,38,3,3,10,2,0,0,0,0,0,0,6,0,1,6,1,0,15,0.235294118,17,4
32,20160405WOHH0,20160405,HH,WO,0,B,41,35,8,9,13,4,0,0,1,0,0,1,4,0,1,1,1,1,8,0.428571429,14,6
33,20160405WOHH0,20160405,WO,HH,0,T,40,32,4,5,7,0,0,1,2,2,0,0,7,0,1,11,1,1,8,0.14285714300000002,7,1
34,20160406NCOB0,20160406,OB,NC,0,B,32,30,2,2,5,0,0,1,0,0,0,0,1,0,1,8,0,0,6,0.083333333,12,1
35,20160406NCOB0,20160406,NC,OB,0,T,29,28,0,0,2,0,0,0,0,0,0,0,1,0,0,12,1,3,2,0.0,0,0
36,20160406SKLT0,20160406,LT,SK,0,B,31,27,11,11,14,3,0,3,1,1,1,0,2,0,1,2,0,1,5,0.5,10,5
37,20160406SKLT0,20160406,SK,LT,0,T,21,16,1,1,1,0,0,0,0,0,0,0,4,0,1,2,1,1,5,0.25,4,1
38,20160406SSKT0,20160406,KT,SS,0,B,38,36,6,6,7,2,0,3,0,0,0,0,2,0,0,6,0,2,5,0.5,4,2
39,20160406SSKT0,20160406,SS,KT,0,T,47,41,7,11,14,3,1,0,2,0,1,0,5,0,0,3,1,2,9,0.3125,16,5
40,20160406WOHH0,20160406,HH,WO,0,B,36,35,4,4,11,3,0,2,1,0,1,0,0,0,0,5,1,0,5,0.222222222,9,2
41,20160406WOHH0,20160406,WO,HH,0,T,40,32,5,6,6,2,0,0,0,0,0,0,7,0,1,12,0,0,7,0.25,8,2
42,20160407LGHT0,20160407,HT,LG,0,B,37,34,4,4,9,5,0,0,1,1,0,0,2,0,1,6,1,0,6,0.444444444,9,4
43,20160407LGHT0,20160407,LG,HT,0,T,43,38,8,8,11,1,0,2,2,0,0,0,4,0,1,9,0,0,8,0.333333333,12,4
44,20160407NCOB0,20160407,OB,NC,0,B,40,36,2,2,10,1,0,0,0,0,0,0,2,0,2,9,1,0,11,0.111111111,9,1
45,20160407NCOB0,20160407,NC,OB,0,T,43,41,8,8,15,2,1,0,0,1,0,0,2,0,0,4,0,0,8,0.5,10,5
46,20160407SKLT0,20160407,LT,SK,0,B,33,31,3,3,5,1,0,1,0,0,0,1,1,0,0,8,0,0,3,0.0,3,0
47,20160407SKLT0,20160407,SK,LT,0,T,42,36,8,8,12,1,0,3,2,1,0,2,3,0,1,5,0,0,7,0.375,8,3
48,20160407SSKT0,20160407,KT,SS,0,B,34,30,1,1,4,1,0,0,0,1,0,0,4,0,0,9,0,1,6,0.25,4,1
49,20160407SSKT0,20160407,SS,KT,0,T,40,35,3,3,9,2,0,1,3,0,1,0,4,0,0,4,0,1,10,0.14285714300000002,14,2
50,20160407WOHH0,20160407,HH,WO,0,B,40,39,3,3,12,2,0,2,0,0,0,0,0,0,1,10,0,1,10,0.181818182,11,2
51,20160407WOHH0,20160407,WO,HH,0,T,37,33,7,7,7,1,1,2,1,0,0,0,4,1,0,4,1,0,3,0.428571429,7,3
52,20160408HHNC0,20160408,NC,HH,0,B,38,30,4,5,9,2,0,1,3,1,1,0,7,0,0,6,2,0,9,0.133333333,15,2
53,20160408HHNC0,20160408,HH,NC,0,T,39,31,4,4,5,2,0,1,0,0,0,0,6,0,2,9,1,1,8,0.2,5,1
54,20160408HTKT0,20160408,KT,HT,0,B,33,31,3,4,8,2,0,0,1,0,1,0,1,0,0,3,3,1,5,0.181818182,11,2
55,20160408HTKT0,20160408,HT,KT,0,T,32,28,0,0,3,0,0,0,1,0,0,0,4,0,0,7,2,3,5,0.0,2,0
56,20160408LGSK0,20160408,SK,LG,0,B,41,36,1,3,8,0,0,0,0,0,0,1,4,0,0,4,0,1,9,0.0,7,0
57,20160408LGSK0,20160408,LG,SK,0,T,36,33,2,2,4,0,0,1,0,0,0,0,2,0,1,4,1,3,4,0.2,5,1
58,20160408SSLT0,20160408,LT,SS,0,B,36,34,3,3,10,2,0,1,1,0,0,0,2,0,0,9,2,2,6,0.28571428600000004,7,2
59,20160408SSLT0,20160408,SS,LT,0,T,42,35,7,7,10,1,0,3,0,0,1,0,5,0,1,8,1,0,8,0.333333333,9,3
60,20160408WOOB0,20160408,OB,WO,0,B,40,29,6,6,8,2,0,1,2,2,1,1,8,0,1,7,0,0,10,0.214285714,14,3
61,20160408WOOB0,20160408,WO,OB,0,T,36,32,4,4,9,2,0,1,2,2,0,0,4,0,0,12,1,2,5,0.28571428600000004,7,2
62,20160409HHNC0,20160409,NC,HH,0,B,41,36,10,10,13,2,0,2,0,0,0,1,3,0,1,4,0,0,7,0.5,10,5
63,20160409HHNC0,20160409,HH,NC,0,T,32,29,1,1,7,0,0,0,0,1,1,0,2,0,0,8,3,0,4,0.5,2,1
64,20160409HTKT0,20160409,KT,HT,0,B,38,35,3,3,11,2,0,0,2,0,1,0,2,0,0,7,1,3,8,0.4,10,4
65,20160409HTKT0,20160409,HT,KT,0,T,41,36,5,6,9,2,0,0,3,0,0,1,3,0,1,9,0,0,8,0.333333333,9,3
66,20160409LGSK0,20160409,SK,LG,0,B,32,27,4,4,5,0,0,3,0,1,0,0,5,0,0,7,1,1,4,0.333333333,3,1
67,20160409LGSK0,20160409,LG,SK,0,T,38,32,3,3,8,2,0,1,0,0,0,0,6,0,0,5,3,0,8,0.0,8,0
68,20160409SSLT0,20160409,LT,SS,0,B,41,37,7,7,15,1,0,1,1,0,0,0,4,0,0,6,2,1,10,0.28571428600000004,14,4
69,20160409SSLT0,20160409,SS,LT,0,T,42,36,4,4,11,0,0,1,1,2,0,0,6,0,0,9,1,0,11,0.375,8,3
70,20160409WOOB0,20160409,OB,WO,0,B,49,46,8,9,13,1,0,2,0,1,0,0,3,0,0,11,2,0,4,0.5,10,5
71,20160409WOOB0,20160409,WO,OB,0,T,57,49,8,9,16,1,1,0,2,1,1,0,6,0,1,9,1,1,12,0.333333333,18,6
72,20160410HHNC0,20160410,NC,HH,0,B,34,29,1,1,2,0,0,0,2,0,1,0,3,0,1,9,0,0,6,0.2,5,1
73,20160410HHNC0,20160410,HH,NC,0,T,38,29,2,2,6,1,0,0,0,0,4,0,4,0,1,12,0,0,9,0.181818182,11,2
74,20160410HTKT0,20160410,KT,HT,0,B,44,37,9,9,11,3,0,2,1,0,0,0,5,0,2,10,1,0,11,0.125,16,2
75,20160410HTKT0,20160410,HT,KT,0,T,43,38,6,6,14,3,2,1,0,1,0,0,5,0,0,6,2,3,10,0.333333333,12,4
76,20160410LGSK0,20160410,SK,LG,0,B,37,33,7,7,9,1,0,2,0,0,0,0,2,1,2,5,1,1,6,0.5,4,2
77,20160410LGSK0,20160410,LG,SK,0,T,38,37,5,6,10,0,0,2,1,1,0,0,1,0,0,6,0,1,5,0.333333333,3,1
78,20160410SSLT0,20160410,LT,SS,0,B,37,33,4,5,11,3,0,1,2,2,0,0,4,0,0,6,1,0,8,0.25,12,3
79,20160410SSLT0,20160410,SS,LT,0,T,40,31,1,1,6,1,0,0,1,0,1,0,8,0,0,9,1,1,12,0.125,8,1
80,20160410WOOB0,20160410,OB,WO,0,B,39,35,4,4,10,2,0,0,0,0,1,0,3,0,0,4,0,0,8,0.333333333,12,4
81,20160410WOOB0,20160410,WO,OB,0,T,41,32,5,5,8,2,1,0,0,0,1,2,5,1,1,10,0,0,9,0.4,5,2
82,20160412HTSK0,20160412,SK,HT,0,B,40,33,6,6,7,0,0,2,3,1,0,1,4,0,2,11,0,0,7,0.4,5,2
83,20160412HTSK0,20160412,HT,SK,0,T,44,37,7,7,10,1,0,4,0,0,0,0,6,0,1,9,0,2,10,0.333333333,9,3
84,20160412KTWO0,20160412,WO,KT,0,B,35,33,4,5,11,3,0,1,0,0,0,0,2,0,0,5,0,0,6,0.428571429,7,3
85,20160412KTWO0,20160412,KT,WO,0,T,35,33,2,2,7,0,0,2,1,1,0,0,1,0,1,6,0,1,6,0.0,2,0
86,20160412LTLG0,20160412,LG,LT,0,B,55,41,12,12,17,3,1,0,1,1,1,2,11,3,0,10,1,1,14,0.333333333,18,6
87,20160412LTLG0,20160412,LT,LG,0,T,46,44,10,11,16,3,1,1,0,1,0,0,2,0,0,10,0,0,5,0.8,10,8
88,20160412NCSS0,20160412,SS,NC,0,B,47,42,13,16,18,4,1,2,0,0,0,1,2,0,2,8,1,1,7,0.666666667,15,10
89,20160412NCSS0,20160412,NC,SS,0,T,39,37,5,5,10,1,0,3,0,0,0,1,1,0,0,4,0,2,7,0.3,10,3
90,20160412OBHH0,20160412,HH,OB,0,B,37,34,1,2,9,2,0,0,0,0,0,0,2,0,1,7,3,0,8,0.181818182,11,2
91,20160412OBHH0,20160412,OB,HH,0,T,45,33,7,8,9,4,0,2,0,0,1,1,9,0,1,7,1,1,10,0.111111111,9,1
92,20160413HTSK0,20160413,SK,HT,0,B,34,29,2,2,7,0,0,1,2,0,1,0,4,0,0,8,1,0,8,0.111111111,9,1
93,20160413HTSK0,20160413,HT,SK,0,T,33,30,0,0,6,1,0,0,0,1,0,0,2,0,1,10,2,0,6,0.0,5,0
94,20160413KTWO0,20160413,WO,KT,0,B,50,45,6,6,13,2,1,1,4,1,0,0,4,0,1,10,0,0,11,0.35714285700000004,14,5
95,20160413KTWO0,20160413,KT,WO,0,T,48,42,7,7,13,2,0,1,2,1,1,0,5,0,0,11,0,2,8,0.307692308,13,4
96,20160413LTLG0,20160413,LG,LT,0,B,38,32,5,5,9,2,0,1,1,0,0,0,6,0,0,11,0,1,9,0.3,10,3
97,20160413LTLG0,20160413,LT,LG,0,T,36,31,3,3,8,0,0,1,0,0,1,0,3,0,1,8,3,0,6,0.14285714300000002,7,1
98,20160413NCSS0,20160413,SS,NC,0,B,33,30,2,2,5,3,0,0,1,0,1,0,2,0,0,6,1,0,4,0.14285714300000002,7,1
99,20160413NCSS0,20160413,NC,SS,0,T,39,32,7,7,10,2,0,0,1,1,1,1,4,0,1,5,1,0,5,0.375,8,3
100,20160413OBHH0,20160413,HH,OB,0,B,43,40,3,3,15,5,2,0,1,0,0,0,3,0,0,12,1,2,13,0.066666667,15,1
101,20160413OBHH0,20160413,OB,HH,0,T,46,40,6,7,15,1,0,1,0,1,0,1,4,0,1,6,0,0,12,0.25,12,3
102,20160414HTSK0,20160414,SK,HT,0,B,41,37,7,7,14,2,0,0,1,1,0,0,4,0,0,8,1,0,9,0.333333333,9,3
103,20160414HTSK0,20160414,HT,SK,0,T,42,35,6,6,10,2,0,1,0,0,1,0,6,0,0,11,0,0,9,0.25,12,3
104,20160414KTWO0,20160414,WO,KT,0,B,35,30,3,4,7,0,1,2,1,0,0,0,2,0,3,9,2,1,4,0.333333333,3,1
105,20160414KTWO0,20160414,KT,WO,0,T,40,36,5,5,10,2,0,2,1,1,1,0,3,0,0,7,0,2,8,0.14285714300000002,14,2
106,20160414LTLG0,20160414,LG,LT,0,B,35,35,0,0,8,1,0,0,0,0,0,0,0,0,0,10,0,0,8,0.0,3,0
107,20160414LTLG0,20160414,LT,LG,0,T,46,41,9,9,15,2,1,1,0,0,0,1,4,0,0,8,0,1,10,0.35714285700000004,14,5
108,20160414NCSS0,20160414,SS,NC,0,B,37,33,5,7,11,0,0,0,3,0,0,1,2,0,1,4,2,0,6,0.333333333,12,4
109,20160414NCSS0,20160414,NC,SS,0,T,39,34,5,5,8,2,0,2,2,0,0,0,4,0,1,16,1,2,7,0.333333333,6,2
110,20160414OBHH0,20160414,HH,OB,0,B,32,31,1,2,5,0,0,0,0,0,0,0,0,0,1,10,2,2,3,0.166666667,6,1
111,20160414OBHH0,20160414,OB,HH,0,T,48,41,15,17,14,2,0,4,0,0,0,0,6,0,1,7,1,1,4,0.454545455,11,5
112,20160415LGHH0,20160415,HH,LG,0,B,35,33,1,2,9,0,0,0,0,0,0,0,2,0,0,4,4,3,6,0.090909091,11,1
113,20160415LGHH0,20160415,LG,HH,0,T,55,44,16,18,19,1,0,4,2,0,1,0,10,0,0,7,2,1,10,0.36842105299999994,19,7
114,20160415LTNC0,20160415,NC,LT,0,B,36,32,3,3,9,3,0,0,2,0,0,0,4,1,0,10,1,0,9,0.222222222,9,2
115,20160415LTNC0,20160415,LT,NC,0,T,33,31,0,0,4,0,0,0,0,1,0,0,2,0,0,13,0,1,6,0.0,3,0
116,20160415SKKT0,20160415,KT,SK,0,B,36,33,3,3,7,1,0,0,0,0,0,0,2,0,1,8,1,1,6,0.375,8,3
117,20160415SKKT0,20160415,SK,KT,0,T,41,31,7,7,9,0,0,2,1,1,3,0,6,0,1,9,2,0,7,0.375,8,3
118,20160415SSOB0,20160415,OB,SS,0,B,41,34,6,7,11,2,0,0,0,0,0,1,6,0,0,5,1,3,10,0.333333333,12,4
119,20160415SSOB0,20160415,SS,OB,0,T,37,35,2,2,6,0,0,0,0,0,0,0,2,0,0,5,1,2,8,0.28571428600000004,7,2
120,20160415WOHT0,20160415,HT,WO,0,B,44,36,10,11,13,3,1,1,3,0,1,0,7,0,0,4,2,1,9,0.4,15,6
121,20160415WOHT0,20160415,WO,HT,0,T,41,34,5,6,10,1,0,0,1,2,0,1,5,0,1,6,0,3,8,0.444444444,9,4
122,20160417LGHH0,20160417,HH,LG,0,B,43,34,4,4,7,0,0,0,1,0,0,0,8,2,1,11,2,0,12,0.14285714300000002,7,1
123,20160417LGHH0,20160417,LG,HH,0,T,40,33,6,6,10,2,0,2,1,2,1,0,6,0,0,11,0,3,7,0.222222222,9,2
124,20160417LTNC0,20160417,NC,LT,0,B,41,37,5,5,13,1,0,1,0,1,0,0,4,0,0,5,2,1,9,0.444444444,9,4
125,20160417LTNC0,20160417,LT,NC,0,T,43,37,8,8,12,3,0,2,1,0,0,1,4,0,1,7,1,0,8,0.272727273,11,3
126,20160417SKKT0,20160417,KT,SK,0,B,47,37,5,6,9,1,0,0,1,0,1,3,6,1,0,8,1,1,8,0.333333333,9,3
127,20160417SKKT0,20160417,SK,KT,0,T,51,42,9,10,11,1,0,1,0,0,2,0,6,1,1,7,2,2,8,0.363636364,11,4
128,20160417SSOB0,20160417,OB,SS,0,B,38,33,6,6,12,0,1,0,2,0,1,1,3,0,0,7,2,0,8,0.454545455,11,5
129,20160417SSOB0,20160417,SS,OB,0,T,34,28,2,2,3,0,0,0,1,0,0,2,4,0,0,5,1,1,5,0.0,4,0
130,20160417WOHT0,20160417,HT,WO,0,B,35,34,1,1,11,1,0,1,0,1,1,0,0,0,0,5,0,0,7,0.166666667,6,1
131,20160417WOHT0,20160417,WO,HT,0,T,33,32,2,2,9,0,1,0,0,2,0,0,0,0,1,3,3,0,4,0.25,4,1
132,20160419HHLT0,20160419,LT,HH,0,B,42,29,3,4,5,3,1,0,0,1,3,1,8,2,1,8,0,0,9,0.14285714300000002,7,1
133,20160419HHLT0,20160419,HH,LT,0,T,44,38,3,3,8,0,0,1,0,0,0,0,6,0,0,11,0,1,11,0.2,5,1
134,20160419NCLG0,20160419,LG,NC,0,B,31,27,1,1,1,0,0,0,0,0,1,1,2,0,0,8,0,1,3,0.0,3,0
135,20160419NCLG0,20160419,NC,LG,0,T,43,36,7,8,12,3,0,1,0,1,0,1,4,0,2,6,0,1,8,0.333333333,9,3
136,20160419OBKT0,20160419,KT,OB,0,B,39,33,2,2,10,2,0,1,0,0,1,0,5,0,0,4,3,1,10,0.1,10,1
137,20160419OBKT0,20160419,OB,KT,0,T,35,32,3,3,7,2,0,0,0,1,0,0,3,0,0,7,1,1,5,0.222222222,9,2
138,20160419SSHT0,20160419,HT,SS,0,B,37,34,7,7,11,3,0,2,0,0,0,0,2,0,1,5,1,1,6,0.333333333,9,3
139,20160419SSHT0,20160419,SS,HT,0,T,39,36,2,2,10,0,0,1,0,1,0,0,3,0,0,7,1,0,10,0.111111111,9,1
140,20160419WOSK0,20160419,SK,WO,0,B,36,34,1,1,7,1,0,1,1,0,0,0,2,0,0,9,0,1,8,0.0,8,0
141,20160419WOSK0,20160419,WO,SK,0,T,38,34,3,3,10,4,0,1,0,1,0,0,4,0,0,8,1,0,8,0.0,9,0
142,20160420HHLT0,20160420,LT,HH,0,B,48,38,10,10,17,2,1,1,5,0,0,2,7,0,1,6,2,0,14,0.352941176,17,6
143,20160420HHLT0,20160420,HH,LT,0,T,38,36,4,4,10,1,0,1,0,0,0,0,2,0,0,3,1,1,7,0.375,8,3
144,20160420NCLG0,20160420,LG,NC,0,B,34,31,6,6,6,0,0,2,0,0,0,0,1,1,2,5,0,0,4,0.4,5,2
145,20160420NCLG0,20160420,NC,LG,0,T,36,33,3,3,11,3,0,0,0,1,0,1,2,0,0,6,3,1,6,0.25,8,2
146,20160420OBKT0,20160420,KT,OB,0,B,40,35,4,4,8,1,0,2,4,0,0,0,4,0,1,13,0,1,9,0.111111111,9,1
147,20160420OBKT0,20160420,OB,KT,0,T,47,40,12,13,16,3,0,2,0,0,1,1,4,0,1,10,1,1,7,0.5,16,8
148,20160420SSHT0,20160420,HT,SS,0,B,38,34,1,1,7,0,0,0,2,1,0,0,4,0,0,6,2,1,7,0.14285714300000002,7,1
149,20160420SSHT0,20160420,SS,HT,0,T,41,34,1,2,9,0,0,0,0,2,2,0,5,1,0,5,1,1,9,0.125,8,1
150,20160420WOSK0,20160420,SK,WO,0,B,38,36,7,9,13,5,0,1,0,0,0,0,2,0,0,2,1,0,5,0.41666666700000005,12,5
151,20160420WOSK0,20160420,WO,SK,0,T,35,33,1,1,8,0,0,1,0,0,0,0,2,0,0,9,2,3,7,0.0,3,0
152,20160421HHLT0,20160421,LT,HH,0,B,38,33,4,5,9,0,0,0,3,1,0,1,4,0,0,9,1,1,6,0.307692308,13,4
153,20160421HHLT0,20160421,HH,LT,0,T,46,33,9,9,13,3,0,0,2,2,4,1,8,1,0,10,0,0,10,0.333333333,15,5
154,20160421NCLG0,20160421,LG,NC,0,B,45,39,5,5,12,1,0,3,0,0,0,0,4,0,2,11,0,2,13,0.1,10,1
155,20160421NCLG0,20160421,NC,LG,0,T,46,38,7,8,14,5,0,0,0,0,2,0,5,2,1,6,0,0,11,0.41176470600000004,17,7
156,20160421OBKT0,20160421,KT,OB,0,B,41,35,8,8,14,3,0,2,1,0,1,0,5,0,0,3,1,0,9,0.384615385,13,5
157,20160421OBKT0,20160421,OB,KT,0,T,38,34,3,3,9,3,0,1,0,0,0,0,4,0,0,7,1,0,8,0.25,8,2
158,20160421SSHT0,20160421,HT,SS,0,B,36,34,1,1,7,5,0,0,0,0,0,0,1,0,1,8,0,2,8,0.0,8,0
159,20160421SSHT0,20160421,SS,HT,0,T,45,41,8,8,15,3,0,1,0,1,0,0,4,0,0,7,1,0,10,0.333333333,15,5
160,20160421WOSK0,20160421,SK,WO,0,B,31,27,2,3,6,0,0,1,2,3,0,0,3,0,1,5,0,1,4,0.0,4,0
161,20160421WOSK0,20160421,WO,SK,0,T,37,33,2,2,6,2,0,1,1,1,0,0,3,0,1,11,0,2,8,0.166666667,6,1
162,20160422HHOB0,20160422,OB,HH,0,B,38,34,8,8,13,3,0,1,1,0,1,0,2,1,1,4,0,0,6,0.571428571,7,4
163,20160422HHOB0,20160422,HH,OB,0,T,38,33,2,2,7,1,0,1,0,0,1,0,4,0,0,6,0,0,9,0.25,8,2
164,20160422HTLT0,20160422,LT,HT,0,B,37,33,6,7,13,3,0,0,1,0,1,1,2,0,0,3,0,0,6,0.444444444,9,4
165,20160422HTLT0,20160422,HT,LT,0,T,39,36,5,5,10,1,0,2,0,0,0,0,2,0,1,10,0,0,7,0.4,5,2
166,20160422KTSS0,20160422,SS,KT,0,B,36,34,3,3,9,1,0,1,0,0,1,0,1,0,0,2,1,0,6,0.166666667,6,1
167,20160422KTSS0,20160422,KT,SS,0,T,48,41,13,13,16,2,1,2,0,0,0,1,6,0,0,5,1,0,8,0.615384615,13,8
168,20160422LGWO0,20160422,WO,LG,0,B,42,35,9,10,14,2,2,2,0,0,1,1,4,0,1,6,2,0,8,0.307692308,13,4
169,20160422LGWO0,20160422,LG,WO,0,T,33,31,2,2,5,0,0,1,0,0,0,0,1,0,1,6,1,1,4,0.0,2,0
170,20160422NCSK0,20160422,SK,NC,0,B,43,39,5,5,9,2,0,1,0,0,1,0,2,0,1,8,1,1,5,0.333333333,6,2
171,20160422NCSK0,20160422,NC,SK,0,T,51,36,5,6,8,2,0,1,0,1,3,1,10,0,0,8,1,0,12,0.083333333,12,1
172,20160423HHOB0,20160423,OB,HH,0,B,34,29,3,3,7,2,0,1,2,1,0,0,4,0,1,5,1,0,7,0.2,5,1
173,20160423HHOB0,20160423,HH,OB,0,T,34,33,2,2,6,0,0,1,0,0,0,0,1,0,0,9,0,0,5,0.25,4,1
174,20160423HTLT0,20160423,LT,HT,0,B,50,40,10,10,14,2,0,2,2,1,0,0,9,0,1,7,1,3,13,0.31578947399999996,19,6
175,20160423HTLT0,20160423,HT,LT,0,T,51,48,16,16,21,3,0,3,0,0,0,0,3,0,0,7,0,1,8,0.5,16,8
176,20160423KTSS0,20160423,SS,KT,0,B,42,32,5,6,7,0,1,0,0,0,0,1,6,0,3,3,1,0,9,0.25,12,3
177,20160423KTSS0,20160423,KT,SS,0,T,42,38,10,11,12,2,0,1,2,0,0,0,4,0,0,5,1,0,4,0.75,8,6
178,20160423LGWO0,20160423,WO,LG,0,B,49,40,14,14,18,3,0,2,0,0,0,2,7,0,0,11,0,2,11,0.4375,16,7
179,20160423LGWO0,20160423,LG,WO,0,T,39,36,1,2,8,3,0,0,0,0,0,1,2,0,0,8,0,0,10,0.0,8,0
180,20160423NCSK0,20160423,SK,NC,0,B,43,37,7,8,13,1,0,0,0,1,0,1,3,0,2,7,1,0,11,0.352941176,17,6
181,20160423NCSK0,20160423,NC,SK,0,T,32,31,2,2,6,0,0,1,0,1,0,0,1,0,0,7,0,3,3,0.0,0,0
182,20160424HHOB0,20160424,OB,HH,0,B,38,28,3,5,5,1,0,0,0,1,1,0,9,0,0,6,2,1,9,0.23076923100000002,13,3
183,20160424HHOB0,20160424,HH,OB,0,T,35,31,1,1,4,1,0,1,0,0,0,0,2,0,2,9,0,2,7,0.0,4,0
184,20160424HTLT0,20160424,LT,HT,0,B,38,36,4,4,8,0,0,3,0,0,0,0,2,0,0,10,0,1,7,0.333333333,3,1
185,20160424HTLT0,20160424,HT,LT,0,T,48,42,11,11,15,3,2,2,3,0,0,1,4,0,1,5,0,0,10,0.375,16,6
186,20160424KTSS0,20160424,SS,KT,0,B,37,33,6,6,10,4,0,1,0,0,2,0,1,0,1,3,0,0,7,0.333333333,15,5
187,20160424KTSS0,20160424,KT,SS,0,T,32,30,0,0,6,1,0,0,0,2,0,0,2,0,0,6,1,1,5,0.25,4,1
188,20160424LGWO0,20160424,WO,LG,0,B,39,36,3,3,11,3,0,0,2,0,2,0,1,1,0,6,0,1,9,0.214285714,14,3
