,GYEAR,P_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,BA,SLG,IsoP,RC,wOBA,wRAA,wRC,wRC+
26,2016,95158,49,44,3,7,11,2,1,0,0,0,1,0,2,0,2,12,2,1,0.25,0.3409090909090909,0.09090909090909088,4.393469387755101,0.3064375,-2.481825432999089,6.809350501367366,63.82178669097538
27,2016,98144,146,137,7,10,23,2,0,3,0,0,6,0,2,0,1,38,2,4,0.1678832116788321,0.24817518248175183,0.08029197080291972,6.230136986301369,0.1964285714285714,-22.03594217997135,20.289068889178278,-7.80793630122969
28,2016,99606,418,370,64,58,119,22,1,6,8,4,5,5,33,1,5,59,9,4,0.3216216216216216,0.43513513513513513,0.11351351351351352,62.00267942583733,0.37305097087378636,4.210853076793712,58.53007381118851,107.19557942035836
29,2016,61743,144,132,15,18,35,8,4,2,1,2,2,0,9,0,1,38,2,1,0.26515151515151514,0.4318181818181818,0.16666666666666669,17.41361111111111,0.3350492957746478,-3.5377405728812334,20.13543235713277,82.45168366626372
30,2016,62907,515,435,55,84,149,16,6,3,20,6,10,7,55,1,8,70,9,14,0.3425287356321839,0.42758620689655175,0.08505747126436786,84.675572815534,0.39496428571428566,15.475485089204303,72.13004948561012,121.46391829293246
31,2016,62934,348,306,51,60,81,15,1,15,5,2,7,2,30,0,3,64,15,1,0.2647058823529412,0.4673202614379085,0.20261437908496732,44.27994252873564,0.3550322580645161,-2.2103684535536843,48.713648366512786,95.46311893769769
32,2016,62947,653,572,113,116,177,37,2,22,7,4,1,4,67,2,9,136,4,8,0.3094405594405594,0.4965034965034965,0.18706293706293708,116.11424196018378,0.3954153846153846,19.890835144800512,91.45046069700582,121.7576407184429
33,2016,64646,46,42,3,9,7,0,0,0,2,0,1,0,3,0,0,9,2,7,0.16666666666666666,0.16666666666666666,0.0,1.6243478260869566,0.19664444444444446,-6.9337789932138145,6.2892656740605695,-7.667375671021959
34,2016,64699,544,499,86,71,156,37,1,20,10,3,0,7,33,0,5,70,16,13,0.312625250501002,0.5110220440881763,0.19839679358717432,88.05330882352939,0.38173345588235297,9.785779398359182,76.17798856507052,112.84897505036658
35,2016,64914,529,436,121,118,140,30,3,40,13,4,0,7,74,6,12,103,2,4,0.3211009174311927,0.6788990825688074,0.3577981651376147,136.07561436672967,0.463,48.70464904284414,74.15206927985415,165.76377132439123
36,2016,65653,514,453,41,72,121,18,3,8,19,10,13,2,36,0,10,104,7,3,0.2671081677704194,0.3730684326710817,0.1059602649006623,57.96887159533075,0.32791417165668657,-15.970935066967272,71.92892814189307,77.80581563789984
37,2016,70410,555,511,101,97,177,37,3,23,9,7,1,6,30,1,7,68,13,3,0.34637964774951074,0.5655577299412916,0.21917808219178087,107.19985585585586,0.41620072332730557,27.421514536604008,77.7494081343002,135.29152450013387
38,2016,70756,560,484,108,93,150,23,0,33,1,1,0,7,60,7,9,57,15,11,0.30991735537190085,0.5619834710743802,0.25206611570247933,105.95150000000001,0.4108607594936709,24.942593725119156,78.44454034593772,131.81453281265198
39,2016,71207,90,73,12,10,16,5,0,0,1,0,1,1,15,0,0,16,2,1,0.2191780821917808,0.2876712328767123,0.0684931506849315,8.526,0.31408988764044943,-3.9306382063441667,12.556326242151734,68.8044586798082
40,2016,72303,47,41,4,3,8,1,0,0,1,0,1,0,5,0,0,12,1,0,0.1951219512195122,0.21951219512195122,0.02439024390243902,2.89531914893617,0.2525217391304348,-4.690499782014188,6.480202132297571,28.715808783978925
41,2016,73213,403,341,39,36,104,21,2,5,1,0,10,1,38,0,13,48,13,13,0.30498533724340177,0.4222873900293255,0.11730205278592376,57.61042183622829,0.38054198473282447,6.811686278330233,56.43690244734078,112.07317667197843
42,2016,73306,394,351,54,34,77,14,0,9,0,2,6,6,22,0,9,91,9,9,0.21937321937321938,0.33618233618233617,0.11680911680911679,32.57131979695431,0.28164948453608246,-28.858799537633097,55.08675431589434,47.681654210237326
43,2016,73339,517,453,57,73,138,24,4,5,15,3,4,5,54,0,1,73,11,2,0.304635761589404,0.4083885209713024,0.10375275938189843,73.3242166344294,0.36364522417154,0.7753700060949705,72.38149974856113,101.07124897222295
44,2016,74223,116,104,7,16,22,3,0,2,0,0,2,1,8,0,1,21,5,1,0.21153846153846154,0.2980769230769231,0.08653846153846154,7.822413793103449,0.26678070175438595,-10.068768091605495,16.15320027507237,38.000196480261735
45,2016,74465,506,427,104,77,131,20,0,32,2,0,2,4,56,2,16,95,18,15,0.30679156908665106,0.5784543325526932,0.2716627634660421,98.67643564356437,0.42613572854291415,29.58311635616642,70.89846465683037,141.76046916454888
46,2016,74605,387,345,49,43,97,16,1,19,1,2,1,1,34,0,6,55,9,11,0.2811594202898551,0.4985507246376812,0.2173913043478261,59.8939534883721,0.37726683937823835,5.385840327600953,54.19391690007133,109.94064290808592
47,2016,77454,137,122,7,26,36,2,0,0,13,6,1,0,14,0,0,30,3,1,0.29508196721311475,0.3114754098360656,0.016393442622950838,14.64029197080292,0.33161764705882346,-3.794332135771362,19.15230414499437,80.21724642454973
48,2016,78122,395,340,30,37,79,15,0,1,0,0,20,4,22,0,9,44,14,0,0.2323529411764706,0.2852941176470588,0.052941176470588214,28.566683544303796,0.2769733333333333,-30.615800668489833,55.22249164387725,44.63688848374353
49,2016,78629,486,380,90,84,117,21,2,25,6,3,0,4,85,1,17,90,8,1,0.3078947368421053,0.5710526315789474,0.2631578947368421,106.33679012345678,0.4502329896907217,39.089546936819275,68.12043116653668,157.4508332404751
50,2016,78643,199,174,15,12,34,7,0,4,2,1,3,2,19,1,1,52,6,6,0.19540229885057472,0.3045977011494253,0.10919540229885058,14.544020100502511,0.2688974358974359,-16.889161582871694,27.775129841292106,39.37845806578718
51,2016,78765,47,43,6,3,13,2,0,1,0,0,0,0,2,0,2,15,1,0,0.3023255813953488,0.4186046511627907,0.1162790697674419,6.481702127659574,0.3601276595744681,-0.08021877848678215,6.578293217479006,98.78086962786045
52,2016,94629,472,399,87,46,119,20,0,21,3,2,2,4,65,6,2,78,11,0,0.2982456140350877,0.506265664160401,0.20802005012531327,81.56656779661019,0.3977823275862069,15.39586018294409,66.11261834784523,123.29881988944322
53,2016,64006,251,236,17,36,57,9,1,3,17,1,5,2,8,0,0,40,5,13,0.24152542372881355,0.326271186440678,0.08474576271186443,21.52207171314741,0.26923577235772356,-21.22499647968221,35.055438261037125,39.59875788365904
54,2016,64007,87,80,7,9,16,7,0,1,1,0,0,1,4,0,2,26,2,6,0.2,0.325,0.125,6.574712643678161,0.26318390804597697,-7.836827711941662,12.089921520552396,35.658228965996216
55,2016,66805,492,456,62,74,129,31,0,21,16,8,2,4,25,2,5,87,11,25,0.28289473684210525,0.48903508771929827,0.206140350877193,68.78211382113821,0.3546311475409836,-3.30490010012402,68.87328272337375,95.2019452669512
56,2016,70553,348,308,34,36,84,13,0,2,0,2,10,2,27,0,1,53,8,13,0.2727272727272727,0.3344155844155844,0.06168831168831168,34.15241379310345,0.3148639053254438,-14.952927025292215,48.67703181889284,69.30844206631319
57,2016,70646,246,222,32,29,50,5,0,11,0,1,0,2,20,0,2,48,10,9,0.22522522522522523,0.3963963963963964,0.17117117117117117,23.497398373983742,0.30823983739837396,-12.055606198723796,34.3909934707369,64.99533624063939
58,2016,71837,422,366,47,59,109,21,0,10,12,5,10,2,32,2,12,89,5,2,0.2978142076502732,0.4371584699453552,0.13934426229508196,62.1473933649289,0.3683975609756097,2.4610489805900686,59.085831869622254,104.16562115875097
59,2016,71857,288,255,35,37,76,14,1,6,3,6,4,2,27,0,0,37,9,3,0.2980392156862745,0.43137254901960786,0.13333333333333336,37.18611111111111,0.3622112676056338,0.055464968479986075,40.320192586696116,100.13756192579362
60,2016,73113,476,402,80,64,126,22,1,20,3,1,0,4,65,2,5,80,9,13,0.31343283582089554,0.5223880597014925,0.20895522388059695,90.38974789915966,0.4152278481012658,23.096130990157263,66.68852128359276,134.65805970911956
61,2016,73153,654,600,42,89,192,14,3,1,37,20,7,1,44,0,2,90,6,2,0.32,0.35833333333333334,0.03833333333333333,81.15645259938837,0.34482071097372485,-10.241800385764758,91.54433975476184,88.81411054416256
62,2016,74339,460,408,64,70,137,22,0,14,4,1,0,3,47,1,2,40,10,1,0.33578431372549017,0.49264705882352944,0.15686274509803927,82.59999999999998,0.4048627450980392,17.97343914776485,64.43907269379949,127.90906699963487
63,2016,74846,468,422,59,59,117,17,3,18,4,0,2,4,35,0,5,99,7,6,0.2772511848341232,0.4597156398104265,0.18246445497630331,67.17948717948718,0.35429828326180257,-3.285691370534541,65.51297929194331,94.9852085309302
64,2016,75151,616,576,100,68,179,32,1,27,2,3,0,5,25,3,10,76,15,5,0.3107638888888889,0.5104166666666666,0.19965277777777773,97.35090909090908,0.37530342577487763,7.470291957451803,86.25212709733353,108.66221238108974
65,2016,75847,606,500,106,106,144,24,1,40,1,2,0,6,77,2,23,126,6,14,0.288,0.58,0.292,124.27775577557757,0.4245761589403973,34.56805133808639,84.89704298900675,140.74499214767374
66,2016,76802,530,479,65,66,153,28,0,8,3,3,5,7,33,0,6,37,13,16,0.31941544885177453,0.4279749478079332,0.10855949895615868,74.03290566037737,0.36299238095238096,0.4794547901202483,74.20090463167948,100.64616548533726
67,2016,76812,472,411,64,49,119,15,0,15,1,5,2,7,43,3,9,76,15,8,0.2895377128953771,0.43552311435523117,0.14598540145985406,63.004110169491526,0.36065738758029975,-0.5776782699166028,66.07877610536036,99.12578954310442
68,2016,76849,326,287,22,29,78,7,4,1,14,8,10,2,23,0,4,37,3,4,0.27177700348432055,0.3344947735191638,0.06271777003484325,33.60355828220858,0.31539873417721515,-13.84868975225876,45.59751935658817,69.65668327725952
69,2016,77609,181,166,18,13,36,10,0,1,2,0,5,3,7,1,0,46,5,8,0.21686746987951808,0.29518072289156627,0.0783132530120482,11.706519337016575,0.24405714285714286,-19.460033858575333,25.232486000781353,23.204286272394114
70,2016,78517,217,187,15,26,41,5,0,3,12,4,4,1,20,0,5,63,3,4,0.2192513368983957,0.29411764705882354,0.07486631016042783,19.124700460829494,0.29117840375586856,-14.009376832248423,30.315440659759226,53.886185542302755
71,2016,78753,63,56,4,6,14,1,0,0,1,2,0,0,7,0,0,10,3,0,0.25,0.26785714285714285,0.01785714285714285,4.403809523809524,0.29799999999999993,-3.675478577939839,8.761659070191431,58.32790727959366
72,2016,78892,149,126,16,14,30,6,0,6,1,1,0,0,20,1,3,24,7,3,0.23809523809523808,0.42857142857142855,0.19047619047619047,18.193288590604027,0.3549527027027027,-0.9571989948015485,20.853575845672477,95.4113183374806
73,2016,99810,424,371,72,49,123,23,1,10,2,5,0,5,45,1,3,44,13,0,0.33153638814016173,0.4797843665768194,0.14824797843665766,69.95419811320754,0.39960756501182026,14.535649557895896,59.394282192353536,124.48728025252005
74,2016,60523,439,370,46,48,97,18,2,2,7,7,8,2,43,0,16,75,12,11,0.26216216216216215,0.33783783783783783,0.07567567567567568,46.55503416856492,0.33678190255220414,-10.091836626784302,61.437011761670206,83.57982976442516
75,2016,60558,135,123,7,17,32,6,0,3,6,2,0,0,12,0,0,37,5,2,0.2601626016260163,0.3821138211382114,0.12195121951219512,14.591703703703702,0.3259851851851852,-4.432087511394708,18.86716972213782,76.54980152701214
76,2016,61353,566,527,72,92,176,22,9,8,28,14,1,5,28,1,5,103,10,1,0.33396584440227706,0.45540796963946867,0.12144212523719161,86.9434628975265,0.37354255319148943,5.95541030663904,79.25052192633683,107.51566166915578
77,2016,61366,68,62,7,4,14,0,1,0,1,0,0,0,1,0,5,18,2,0,0.22580645161290322,0.25806451612903225,0.03225806451612903,4.785882352941176,0.2714411764705882,-5.613491340018234,9.437448656764438,41.034754831741246
78,2016,62353,263,223,26,45,69,5,3,4,16,9,5,2,30,0,3,52,5,3,0.3094170403587444,0.4125560538116592,0.10313901345291482,37.65596958174905,0.37675968992248055,3.5385582949976175,36.833454594277555,109.61042448396962
79,2016,64300,599,526,84,92,148,29,7,20,28,15,2,5,60,2,6,80,7,21,0.2813688212927757,0.47718631178707227,0.1958174904942966,91.62150250417362,0.3708873949579832,4.85282550577204,83.86810154508477,105.78681791768668
80,2016,64346,265,233,24,43,58,11,1,8,17,6,6,0,25,0,1,82,2,3,0.24892703862660945,0.40772532188841204,0.1587982832618026,32.61403773584906,0.3323436293436293,-7.164027551447791,37.072965933768124,80.68995269151539
81,2016,65523,272,247,41,46,72,18,3,7,15,2,1,5,18,1,1,59,5,2,0.291497975708502,0.47368421052631576,0.18218623481781376,40.949999999999996,0.3552444444444444,-1.6750329180593575,38.073841790742435,95.60127910173489
82,2016,66306,497,417,70,65,123,33,1,16,1,0,1,4,70,4,5,72,8,4,0.2949640287769784,0.4940047961630695,0.1990407673860911,87.00241448692154,0.39843495934959344,16.506996168411984,69.61321327196865,123.7237656918827
83,2016,71552,396,325,70,49,85,10,0,19,0,0,0,4,64,2,3,102,14,0,0.26153846153846155,0.4676923076923077,0.20615384615384613,59.583939393939396,0.3814517766497462,7.021789930081594,55.45773179275274,112.66556625195092
84,2016,71562,211,195,17,24,55,5,1,1,3,2,3,1,10,1,2,25,4,3,0.28205128205128205,0.3333333333333333,0.051282051282051266,20.670616113744074,0.30635265700483094,-10.70336314674628,29.489273160441964,63.76654317282912
85,2016,71565,98,83,8,19,16,5,0,1,2,2,4,0,7,0,4,16,3,0,0.1927710843373494,0.2891566265060241,0.09638554216867468,6.730204081632654,0.2768936170212766,-7.602940320797535,13.642418976318393,44.584983084566076
86,2016,72546,368,316,40,38,86,10,0,4,2,3,19,2,29,0,1,39,10,7,0.2721518987341772,0.34177215189873417,0.06962025316455694,35.856348773841965,0.3181810344827586,-14.699525351271502,51.48005563763242,71.4683125945817
87,2016,73342,460,398,65,64,123,19,1,8,7,4,0,6,53,1,3,56,11,1,0.30904522613065327,0.4221105527638191,0.11306532663316582,67.404,0.37426143790849675,5.141532760171843,64.41117724513082,107.98374652200597
88,2016,74215,402,341,80,72,114,15,0,19,2,3,0,6,46,3,9,50,16,6,0.3343108504398827,0.5454545454545454,0.21114369501466274,76.0,0.42547368421052634,23.26018327496043,56.33786115242528,141.32939458948192
89,2016,74540,460,381,72,65,123,26,0,20,4,0,0,3,66,4,10,91,7,4,0.3228346456692913,0.5485564304461942,0.22572178477690286,96.56765217391303,0.4337719298245614,30.095795550864413,64.46542564250188,146.73260178705652
90,2016,76313,559,498,113,97,167,26,5,27,25,10,0,8,49,5,4,66,10,15,0.3353413654618474,0.570281124497992,0.23493975903614456,112.21466905187837,0.41705595667870043,28.054949665809982,78.31018774537712,135.8483895550856
91,2016,76368,74,62,6,20,16,0,0,0,16,7,2,0,10,0,0,12,0,2,0.25806451612903225,0.25806451612903225,0.0,7.178918918918919,0.31352777777777774,-3.269776157196396,10.315813835713563,68.43845408111588
92,2016,76536,99,90,9,8,22,5,0,0,0,0,2,2,1,0,4,18,7,2,0.24444444444444444,0.3,0.05555555555555555,6.137373737373737,0.270680412371134,-8.241238992942328,13.776755161687452,40.539401205322314
93,2016,77463,417,370,72,29,106,14,3,7,0,1,0,9,36,1,2,92,13,3,0.2864864864864865,0.3972972972972973,0.11081081081081079,50.28537170263789,0.3387403846153846,-8.84162225650376,58.35879706892925,84.85504923517684
94,2016,77532,672,575,81,118,186,33,1,16,42,4,0,2,92,1,3,104,4,3,0.3234782608695652,0.4678260869565217,0.1443478260869565,128.505,0.40630253353204177,27.138835490913465,94.12038517186149,128.8465513296274
95,2016,77564,579,510,90,76,156,39,5,17,6,3,1,12,53,3,3,89,15,7,0.3058823529411765,0.5019607843137255,0.196078431372549,93.70300518134714,0.38106086956521734,10.060386033054556,81.0773754508343,112.41103631020795
96,2016,78168,646,560,63,111,182,30,7,7,26,13,3,4,69,2,10,58,6,15,0.325,0.44107142857142856,0.11607142857142855,106.45752321981423,0.3908268330733229,16.975509722303183,90.4662778788271,118.76991344792481
97,2016,79334,33,26,3,6,5,2,0,0,0,1,0,0,7,0,0,10,1,3,0.19230769230769232,0.2692307692307692,0.0769230769230769,2.672727272727273,0.3214242424242424,-1.2206016408386515,4.583012071489738,73.58005106409846
98,2016,79365,454,411,70,44,102,25,1,14,3,1,6,3,27,0,7,93,18,7,0.24817518248175183,0.41605839416058393,0.1678832116788321,47.95453744493392,0.321609375,-16.715901321786696,63.52318083409299,73.70059578070061
99,2016,60456,517,445,49,60,128,19,3,3,8,3,10,7,51,0,4,69,15,8,0.2876404494382023,0.36404494382022473,0.07640449438202246,60.414893617021285,0.3412485207100592,-9.779867632542754,72.36108342817691,86.48816298349993
100,2016,62404,495,428,77,105,147,19,13,14,10,5,2,5,55,1,5,68,4,7,0.34345794392523366,0.5467289719626168,0.20327102803738317,103.272,0.42826829268292677,29.902283389287835,69.36040865331171,143.1490380797804
101,2016,62415,641,564,61,109,169,26,12,4,52,15,22,3,49,2,3,87,6,2,0.299645390070922,0.4095744680851064,0.10992907801418439,88.62402496099845,0.3514376012965964,-6.171830053675204,89.73037155997868,93.12254284190416
102,2016,63260,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0.2,0.2,0.0,0.2,0.1888,-0.7894257064721968,0.5421148587055606,-12.775100924599524
103,2016,64493,27,26,3,11,3,1,0,0,1,2,0,0,1,0,0,11,0,0,0.11538461538461539,0.15384615384615385,0.038461538461538464,0.35407407407407404,0.14474074074074073,-5.347310847766636,3.5819514500827174,-41.46324994091628
104,2016,66209,29,29,3,16,8,0,0,0,2,3,0,0,0,0,0,6,0,1,0.27586206896551724,0.27586206896551724,0.0,1.5586206896551722,0.26041379310344825,-2.685505925250684,3.9673963474051495,33.8545338608206
105,2016,66244,481,400,81,69,123,31,0,24,0,0,0,7,69,0,5,90,10,2,0.3075,0.565,0.25749999999999995,96.75792099792099,0.42540540540540533,27.80127620783954,67.39779891103501,141.28493645357815
106,2016,66452,190,154,33,24,41,6,0,8,0,0,0,3,31,0,2,17,9,5,0.2662337662337662,0.461038961038961,0.19480519480519481,27.75842105263158,0.3842894736842105,3.86052871467639,26.62031857218251,114.51326584464807
107,2016,71432,401,349,69,57,105,21,0,14,1,0,6,4,40,2,2,72,5,0,0.3008595988538682,0.4813753581661891,0.1805157593123209,65.19960099750624,0.37994656488549616,6.5602301905961395,56.15635967628578,111.68548306126851
108,2016,72443,618,519,144,99,195,46,2,31,2,2,0,7,83,8,9,83,12,3,0.37572254335260113,0.651252408477842,0.2755298651252409,161.02582524271844,0.4803754098360656,66.68733206808434,86.6279083043173,177.07736022663468
109,2016,72466,282,247,36,32,68,11,1,10,0,1,3,3,26,0,3,64,7,11,0.27530364372469635,0.4493927125506073,0.17408906882591096,38.396241134751776,0.35741935483870974,-1.1775222748257534,39.47582438909637,97.01742078311612
110,2016,74206,496,416,78,69,129,27,3,7,8,4,5,13,57,1,5,52,8,10,0.31009615384615385,0.43990384615384615,0.1298076923076923,76.64520161290324,0.3773755102040816,6.9519171023012625,69.45401596189981,110.01140135700066
111,2016,75334,455,380,92,69,120,20,2,27,1,0,2,7,64,2,2,73,5,7,0.3157894736842105,0.5921052631578947,0.2763157894736842,98.19349450549448,0.43177383592017743,28.93992282924406,63.76360422599834,145.43158999881328
112,2016,76232,392,332,66,66,106,17,0,22,2,0,1,7,40,1,12,29,20,7,0.3192771084337349,0.5692771084337349,0.25,73.03438775510203,0.4232461538461538,21.88559007082252,54.935830586915365,139.87899065383112
113,2016,76249,579,511,87,98,166,31,4,16,9,2,1,4,48,1,15,91,18,0,0.324853228962818,0.49510763209393344,0.17025440313111545,99.7713298791019,0.4010155979202773,20.59255350577991,81.09556572280792,125.40408771993575
114,2016,76267,182,160,22,21,45,11,0,2,0,0,2,4,12,1,4,19,2,2,0.28125,0.3875,0.10625000000000001,22.37461538461539,0.33139664804469277,-5.077310898692721,25.452102687369823,80.07334812130016
115,2016,77248,484,416,58,68,113,18,1,5,13,10,3,6,54,1,5,82,10,16,0.27163461538461536,0.3557692307692308,0.08413461538461542,54.80793388429752,0.3363541666666666,-11.315025828015816,67.73662184746279,83.30131961626945
116,2016,79215,540,484,83,95,162,36,4,20,17,6,4,5,38,0,9,86,9,3,0.3347107438016529,0.5495867768595041,0.2148760330578512,104.8102962962963,0.4136268656716418,25.413406985129065,75.64706186478729,133.61561770519717
117,2016,79231,305,269,20,49,65,7,2,2,12,4,4,1,25,0,6,48,7,2,0.241635687732342,0.3048327137546468,0.06319702602230481,27.562295081967214,0.29946843853820604,-17.38571216576769,42.64299766503027,59.28404645019276
118,2016,79240,609,538,81,96,154,24,4,7,6,6,6,2,49,1,14,58,14,8,0.2862453531598513,0.3847583643122677,0.0985130111524164,74.53004926108375,0.3474119601328904,-8.09855631638081,85.24670187796983,90.50134140701289
119,2016,79402,401,358,38,56,97,13,0,3,6,4,8,4,23,0,8,39,9,15,0.2709497206703911,0.3324022346368715,0.06145251396648044,39.122942643391525,0.3106361323155216,-18.775670867343507,56.09317787813631,66.55562724021463
120,2016,79456,419,390,50,36,116,12,0,7,3,2,8,2,12,0,7,32,13,10,0.29743589743589743,0.382051282051282,0.08461538461538459,46.023866348448685,0.32727980535279805,-13.26140524811086,58.62834986814294,77.39276295923823
121,2016,79465,381,323,22,53,86,17,0,4,5,8,1,1,51,0,5,42,10,0,0.26625386996904027,0.3560371517027864,0.08978328173374611,43.351181102362204,0.3488421052631579,-4.569879575876788,53.32800556541765,91.43254672689017
122,2016,95436,623,542,118,91,164,32,2,27,5,2,0,8,65,1,8,89,7,0,0.3025830258302583,0.518450184501845,0.21586715867158668,112.16282504012841,0.396064308681672,19.345546316027026,87.25105224127775,122.18017234123712
